Date,Price,,,,,
12/6/2013,77.77,,,,,
12/9/2013,77.82,,,,,
12/10/2013,77.8,,,,,
12/11/2013,77.79,,,,,
12/12/2013,77.8,,,,,
12/13/2013,77.79,,,,,
12/16/2013,77.75,,,,,
12/17/2013,77.77,,,,,
12/18/2013,77.78,,,,,
12/19/2013,77.77,,,,,
12/20/2013,77.8,,,,,
12/23/2013,77.78,,,,,
12/24/2013,77.43,,,,,
12/25/2013,77.43,,,,,
12/26/2013,77.4,,,,,
12/27/2013,77.35,,,,,
12/30/2013,77.43,,,,,
12/31/2013,77.41,,,,,
1/1/2014,77.41,,,,,
1/2/2014,77.4,,,,,
1/3/2014,77.37,,,,,
1/6/2014,77.8,,,,,
1/7/2014,77.42,,,,,
1/8/2014,77.95,,,,,
1/9/2014,77.95,,,,,
1/10/2014,77.95,,,,,
1/13/2014,77.42,,,,,
1/14/2014,77.78,,,,,
1/15/2014,77.86,,,,,
1/16/2014,77.4,,,,,
1/17/2014,77.78,,,,,
1/20/2014,77.44,,,,,
1/21/2014,77.4,,,,,
1/22/2014,77.43,,,,,
1/23/2014,77.77,,,,,
1/24/2014,77.73,,,,,
1/27/2014,77.43,,,,,
1/28/2014,77.75,,,,,
1/29/2014,77.77,,,,,
1/30/2014,77.78,,,,,
1/31/2014,77.77,,,,,
2/3/2014,77.79,,,,,
2/4/2014,77.77,,,,,
2/5/2014,77.75,,,,,
2/6/2014,77.75,,,,,
2/7/2014,77.77,,,,,
2/10/2014,77.77,,,,,
2/11/2014,77.42,,,,,
2/12/2014,77.85,,,,,
2/13/2014,77.42,,,,,
2/14/2014,77.75,,,,,
2/17/2014,77.75,,,,,
2/18/2014,77.8,,,,,
2/19/2014,77.82,,,,,
2/20/2014,77.73,,,,,
2/21/2014,77.71,,,,,
2/24/2014,77.7,,,,,
2/25/2014,77.68,,,,,
2/26/2014,77.67,,,,,
2/27/2014,77.62,,,,,
2/28/2014,77.62,,,,,
3/3/2014,77.58,,,,,
3/4/2014,77.97,,,,,
3/5/2014,77.9,,,,,
3/6/2014,77.88,,,,,
3/7/2014,77.87,,,,,
3/10/2014,77.82,,,,,
3/11/2014,77.8,,,,,
3/12/2014,77.75,,,,,
3/13/2014,77.72,,,,,
3/14/2014,77.68,,,,,
3/17/2014,77.65,,,,,
3/18/2014,77.87,,,,,
3/19/2014,77.87,,,,,
3/20/2014,77.83,,,,,
3/21/2014,77.78,,,,,
3/24/2014,77.7,,,,,
3/25/2014,77.72,,,,,
3/26/2014,77.68,,,,,
3/27/2014,77.65,,,,,
3/28/2014,77.62,,,,,
3/31/2014,77.79,,,,,
4/1/2014,77.77,,,,,
4/2/2014,77.77,,,,,
4/3/2014,77.73,,,,,
4/4/2014,77.72,,,,,
4/7/2014,77.68,,,,,
4/8/2014,77.77,,,,,
4/9/2014,77.77,,,,,
4/10/2014,77.75,,,,,
4/11/2014,77.72,,,,,
4/14/2014,77.7,,,,,
4/15/2014,77.67,,,,,
4/16/2014,77.65,,,,,
4/17/2014,77.65,,,,,
4/18/2014,77.65,,,,,
4/21/2014,77.65,,,,,
4/22/2014,77.63,,,,,
4/23/2014,77.63,,,,,
4/24/2014,77.6,,,,,
4/25/2014,77.58,,,,,
4/28/2014,77.55,,,,,
4/29/2014,77.78,,,,,
4/30/2014,77.78,,,,,
5/1/2014,77.77,,,,,
5/2/2014,77.75,,,,,
5/5/2014,77.8,,,,,
5/6/2014,77.77,,,,,
5/7/2014,77.78,,,,,
5/8/2014,77.75,,,,,
5/9/2014,77.73,,,,,
5/12/2014,77.7,,,,,
5/13/2014,77.67,,,,,
5/14/2014,77.78,,,,,
5/15/2014,77.68,,,,,
5/16/2014,77.65,,,,,
5/19/2014,77.57,,,,,
5/20/2014,77.67,,,,,
5/21/2014,77.69,,,,,
5/22/2014,77.67,,,,,
5/23/2014,77.65,,,,,
